rule,antecedent,consequent,support,confidence,lift,support_count_xy,support_count_x,support_count_y
i41 → i72,i41,i72,0.005733,0.477778,2.004369,43,90,1788
i37 i46 → i72,i37 i46,i72,0.002800,0.477273,2.002250,21,44,1788
i40 i82 → i72,i40 i82,i72,0.002800,0.477273,2.002250,21,44,1788
i21 i25 → i72,i21 i25,i72,0.002666,0.476190,1.997710,20,42,1788
i97 i99 → i72,i97 i99,i72,0.002666,0.476190,1.997710,20,42,1788
i71 i82 → i72,i71 i82,i72,0.007866,0.475806,1.996099,59,124,1788
i116 i55 → i72,i116 i55,i72,0.003866,0.475410,1.994435,29,61,1788
i25 i55 → i72,i25 i55,i72,0.010932,0.473988,1.988472,82,173,1788
i108 i82 → i72,i108 i82,i72,0.004666,0.472973,1.984212,35,74,1788
i37 i89 → i72,i37 i89,i72,0.003333,0.471698,1.978863,25,53,1788
i55 i81 → i72,i55 i81,i72,0.006666,0.471698,1.978863,50,106,1788
i63 → i72,i63,i72,0.007332,0.470085,1.972098,55,117,1788
i25 i82 → i72,i25 i82,i72,0.009332,0.469799,1.970895,70,149,1788
i17 i23 → i72,i17 i23,i72,0.003066,0.469388,1.969171,23,49,1788
i49 i71 → i72,i49 i71,i72,0.011065,0.468927,1.967236,83,177,1788
i15 i49 → i72,i15 i49,i72,0.004933,0.468354,1.964836,37,79,1788
i23 i97 → i72,i23 i97,i72,0.002933,0.468085,1.963706,22,47,1788
i51 i81 → i72,i51 i81,i72,0.002933,0.468085,1.963706,22,47,1788
i17 i49 → i72,i17 i49,i72,0.004799,0.467532,1.961388,36,77,1788
i108 i71 → i72,i108 i71,i72,0.006532,0.466667,1.957755,49,105,1788
i108 i55 → i72,i108 i55,i72,0.005466,0.465909,1.954577,41,88,1788
i116 i17 → i72,i116 i17,i72,0.003600,0.465517,1.952933,27,58,1788
i65 i99 → i72,i65 i99,i72,0.002666,0.465116,1.951251,20,43,1788
i81 i92 → i72,i81 i92,i72,0.002666,0.465116,1.951251,20,43,1788
i100 i71 i81 → i72,i100 i71 i81,i72,0.003333,0.462963,1.942218,25,54,1788
i100 i108 i49 → i72,i100 i108 i49,i72,0.003066,0.460000,1.929787,23,50,1788
i51 i71 → i72,i51 i71,i72,0.003600,0.457627,1.919833,27,59,1788
i99 → i72,i99,i72,0.023064,0.456464,1.914955,173,379,1788
i48 i55 → i72,i48 i55,i72,0.003466,0.456140,1.913596,26,57,1788
i49 i60 → i72,i49 i60,i72,0.003466,0.456140,1.913596,26,57,1788
i49 i82 → i72,i49 i82,i72,0.006133,0.455446,1.910681,46,101,1788
i100 i82 → i72,i100 i82,i72,0.011465,0.455026,1.908923,86,189,1788
i54 i92 → i72,i54 i92,i72,0.002666,0.454545,1.906905,20,44,1788
i31 i54 → i72,i31 i54,i72,0.003200,0.452830,1.899709,24,53,1788
i71 i92 → i72,i71 i92,i72,0.004399,0.452055,1.896456,33,73,1788
i100 i55 i71 → i72,i100 i55 i71,i72,0.004399,0.452055,1.896456,33,73,1788
i100 i25 i71 → i72,i100 i25 i71,i72,0.004933,0.451220,1.892952,37,82,1788
i45 i49 → i72,i45 i49,i72,0.003066,0.450980,1.891949,23,51,1788
i65 i82 → i72,i65 i82,i72,0.004266,0.450704,1.890790,32,71,1788
i23 i71 → i72,i23 i71,i72,0.006666,0.450450,1.889725,50,111,1788
i59 i71 → i72,i59 i71,i72,0.004133,0.449275,1.884796,31,69,1788
