rule,antecedent,consequent,support,confidence,lift,support_count_xy,support_count_x,support_count_y
i37 i44 → i100,i37 i44,i100,0.002933,0.488889,2.807929,22,45,1306
i15 i25 i37 → i100,i15 i25 i37,i100,0.002666,0.487805,2.801703,20,41,1306
i100 i15 i71 → i25,i100 i15 i71,i25,0.002933,0.458333,2.797362,22,48,1229
i104 → i100,i104,i100,0.003733,0.482759,2.772720,28,58,1306
i23 i81 → i100,i23 i81,i100,0.003466,0.481481,2.765385,26,54,1306
i25 i55 i71 → i100,i25 i55 i71,i100,0.002933,0.478261,2.746887,22,46,1306
i49 i55 i72 → i100,i49 i55 i72,i100,0.004399,0.478261,2.746887,33,69,1306
i108 i55 → i100,i108 i55,i100,0.005599,0.477273,2.741212,42,88,1306
i49 i55 i71 → i72,i49 i55 i71,i72,0.003733,0.651163,2.731752,28,43,1788
i100 i107 → i25,i100 i107,i25,0.002800,0.446809,2.727022,21,47,1229
i49 i72 i97 → i25,i49 i72 i97,i25,0.003200,0.444444,2.712594,24,54,1229
i37 i51 → i100,i37 i51,i100,0.004266,0.470588,2.702820,32,68,1306
i51 i55 → i100,i51 i55,i100,0.005333,0.470588,2.702820,40,85,1306
i17 i81 → i100,i17 i81,i100,0.003066,0.469388,2.695925,23,49,1306
i51 i59 → i100,i51 i59,i100,0.003066,0.469388,2.695925,23,49,1306
i25 i37 i55 → i100,i25 i37 i55,i100,0.003066,0.469388,2.695925,23,49,1306
i81 i82 → i100,i81 i82,i100,0.005066,0.469136,2.694478,38,81,1306
i25 i72 i81 → i100,i25 i72 i81,i100,0.003866,0.467742,2.686472,29,62,1306
i49 i72 i97 → i100,i49 i72 i97,i100,0.003333,0.462963,2.659024,25,54,1306
i49 i99 → i72,i49 i99,i72,0.005066,0.633333,2.656954,38,60,1788
i16 i43 → i25,i16 i43,i25,0.002666,0.434783,2.653624,20,46,1229
i15 i30 → i37,i15 i30,i37,0.002666,0.476190,2.649781,20,42,1348
i43 i57 → i37,i43 i57,i37,0.002666,0.476190,2.649781,20,42,1348
i55 i72 i81 → i100,i55 i72 i81,i100,0.003066,0.460000,2.642006,23,50,1306
