itemset,support_count,support
i108 i83,24,0.003200
i108 i92,37,0.004933
i108 i97,84,0.011199
i108 i99,52,0.006932
i110 i116,53,0.007066
i110 i15,80,0.010665
i110 i16,22,0.002933
i110 i17,52,0.006932
i110 i23,36,0.004799
i110 i25,85,0.011332
i110 i30,20,0.002666
i110 i31,43,0.005733
i110 i37,146,0.019464
i110 i4,28,0.003733
i110 i40,32,0.004266
i110 i43,80,0.010665
i110 i45,24,0.003200
i110 i48,31,0.004133
i110 i49,66,0.008799
i110 i51,37,0.004933
i110 i54,89,0.011865
i110 i55,69,0.009199
i110 i57,23,0.003066
i110 i59,36,0.004799
i110 i60,43,0.005733
i110 i65,38,0.005066
i110 i69,20,0.002666
i110 i71,85,0.011332
i110 i72,144,0.019197
i110 i81,40,0.005333
i110 i82,72,0.009599
i110 i85,29,0.003866
i110 i89,22,0.002933
i110 i92,31,0.004133
i110 i97,48,0.006399
i110 i99,37,0.004933
i111 i15,21,0.002800
i111 i25,36,0.004799
i111 i37,36,0.004799
i111 i40,21,0.002800
i111 i43,42,0.005599
i111 i48,25,0.003333
i111 i49,33,0.004399
i111 i54,38,0.005066
i111 i71,33,0.004399
i111 i72,59,0.007866
i111 i82,27,0.003600
i111 i92,21,0.002800
i111 i97,20,0.002666
i113 i25,26,0.003466
i113 i54,20,0.002666
i113 i71,26,0.003466
i113 i72,33,0.004399
i114 i72,26,0.003466
i115 i15,28,0.003733
i115 i17,27,0.003600
i115 i23,25,0.003333
i115 i25,47,0.006266
i115 i37,37,0.004933
i115 i43,41,0.005466
i115 i49,37,0.004933
i115 i54,39,0.005199
i115 i55,34,0.004533
i115 i59,28,0.003733
i115 i71,74,0.009865
i115 i72,72,0.009599
i115 i81,60,0.007999
i115 i82,35,0.004666
i115 i97,26,0.003466
i116 i15,67,0.008932
i116 i16,24,0.003200
i116 i17,58,0.007732
i116 i22,23,0.003066
i116 i23,41,0.005466
i116 i25,90,0.011998
i116 i30,30,0.003999
i116 i31,41,0.005466
i116 i37,82,0.010932
i116 i4,29,0.003866
i116 i40,39,0.005199
i116 i43,79,0.010532
i116 i45,28,0.003733
i116 i48,45,0.005999
i116 i49,68,0.009065
i116 i51,34,0.004533
i116 i54,68,0.009065
i116 i55,61,0.008132
i116 i57,32,0.004266
i116 i59,25,0.003333
i116 i60,29,0.003866
i116 i65,49,0.006532
i116 i71,89,0.011865
i116 i72,151,0.020131
i116 i81,26,0.003466
i116 i82,52,0.006932
i116 i92,21,0.002800
i116 i97,44,0.005866
i116 i99,27,0.003600
i117 i55,20,0.002666
i117 i72,27,0.003600
i118 i17,20,0.002666
i118 i25,33,0.004399
i118 i37,34,0.004533
i118 i43,38,0.005066
i118 i54,29,0.003866
i118 i71,24,0.003200
i118 i72,42,0.005599
i118 i82,27,0.003600
i119 i25,21,0.002800
i119 i72,26,0.003466
i12 i15,25,0.003333
i12 i17,41,0.005466
i12 i23,20,0.002666
i12 i25,37,0.004933
i12 i31,22,0.002933
i12 i33,26,0.003466
i12 i37,55,0.007332
i12 i39,20,0.002666
i12 i43,59,0.007866
i12 i48,20,0.002666
i12 i49,33,0.004399
i12 i54,50,0.006666
i12 i55,37,0.004933
i12 i60,20,0.002666
i12 i61,20,0.002666
i12 i65,24,0.003200
i12 i71,41,0.005466
i12 i72,72,0.009599
i12 i81,28,0.003733
i12 i82,41,0.005466
i12 i97,24,0.003200
i13 i72,20,0.002666
i15 i16,23,0.003066
i15 i17,86,0.011465
i15 i19,20,0.002666
i15 i21,26,0.003466
i15 i22,29,0.003866
i15 i23,47,0.006266
i15 i25,128,0.017064
i15 i30,42,0.005599
i15 i31,43,0.005733
i15 i33,25,0.003333
i15 i37,216,0.028796
i15 i38,21,0.002800
i15 i4,34,0.004533
i15 i40,53,0.007066
i15 i43,165,0.021997
i15 i44,31,0.004133
i15 i45,30,0.003999
i15 i46,27,0.003600
i15 i48,54,0.007199
i15 i49,79,0.010532
i15 i51,41,0.005466
i15 i54,131,0.017464
i15 i55,90,0.011998
i15 i57,42,0.005599
i15 i59,31,0.004133
i15 i60,47,0.006266
i15 i61,29,0.003866
i15 i64,25,0.003333
i15 i65,50,0.006666
i15 i71,134,0.017864
i15 i72,183,0.024397
i15 i80,20,0.002666
i15 i81,48,0.006399
i15 i82,79,0.010532
i15 i89,28,0.003733
i15 i92,34,0.004533
i15 i97,66,0.008799
i15 i99,47,0.006266
i16 i17,22,0.002933
i16 i23,32,0.004266
i16 i25,62,0.008266
i16 i31,23,0.003066
i16 i37,46,0.006133
i16 i43,46,0.006133
i16 i49,29,0.003866
i16 i51,23,0.003066
i16 i54,55,0.007332
i16 i55,29,0.003866
i16 i65,33,0.004399
i16 i71,46,0.006133
i16 i72,23,0.003066
i16 i82,31,0.004133
i16 i97,28,0.003733
i17 i21,23,0.003066
i17 i23,49,0.006532
i17 i25,102,0.013598
i17 i30,30,0.003999
i17 i31,37,0.004933
i17 i33,33,0.004399
i17 i37,143,0.019064
i17 i38,24,0.003200
i17 i39,27,0.003600
i17 i4,32,0.004266
i17 i40,31,0.004133
i17 i43,134,0.017864
i17 i45,33,0.004399
i17 i46,28,0.003733
i17 i48,48,0.006399
i17 i49,77,0.010265
i17 i51,36,0.004799
i17 i54,106,0.014131
i17 i55,61,0.008132
i17 i57,20,0.002666
i17 i59,34,0.004533
i17 i60,33,0.004399
i17 i61,27,0.003600
i17 i65,52,0.006932
i17 i71,100,0.013332
i17 i72,206,0.027463
i17 i81,49,0.006532
i17 i82,89,0.011865
i17 i83,23,0.003066
i17 i89,24,0.003200
i17 i92,28,0.003733
i17 i97,57,0.007599
i17 i99,46,0.006133
i19 i25,26,0.003466
i19 i37,22,0.002933
i19 i49,20,0.002666
i19 i54,27,0.003600
i19 i71,22,0.002933
i19 i72,40,0.005333
i2 i72,20,0.002666
i21 i23,20,0.002666
i21 i25,42,0.005599
i21 i31,22,0.002933
i21 i37,28,0.003733
i21 i43,36,0.004799
i21 i45,21,0.002800
i21 i49,32,0.004266
i21 i54,49,0.006532
i21 i55,34,0.004533
i21 i59,24,0.003200
i21 i65,20,0.002666
i21 i71,53,0.007066
i21 i72,77,0.010265
i21 i81,22,0.002933
i21 i82,35,0.004666
i21 i97,24,0.003200
i22 i25,87,0.011598
i22 i30,28,0.003733
i22 i37,50,0.006666
i22 i40,30,0.003999
i22 i43,70,0.009332
i22 i45,20,0.002666
i22 i48,35,0.004666
i22 i49,36,0.004799
i22 i54,62,0.008266
i22 i55,30,0.003999
i22 i65,24,0.003200
i22 i71,40,0.005333
i22 i72,56,0.007466
i22 i82,38,0.005066
i23 i25,110,0.014665
i23 i31,51,0.006799
i23 i33,24,0.003200
i23 i37,108,0.014398
i23 i4,20,0.002666
i23 i40,27,0.003600
i23 i41,21,0.002800
i23 i43,83,0.011065
i23 i45,39,0.005199
i23 i46,20,0.002666
i23 i48,50,0.006666
i23 i49,67,0.008932
i23 i51,32,0.004266
i23 i54,89,0.011865
i23 i55,71,0.009465
i23 i57,20,0.002666
i23 i59,37,0.004933
i23 i60,31,0.004133
i23 i61,23,0.003066
i23 i63,34,0.004533
i23 i65,33,0.004399
i23 i69,24,0.003200
i23 i71,111,0.014798
i23 i72,171,0.022797
i23 i80,20,0.002666
i23 i81,54,0.007199
i23 i82,68,0.009065
i23 i92,30,0.003999
i23 i97,47,0.006266
i23 i99,45,0.005999
i25 i30,78,0.010399
i25 i31,102,0.013598
i25 i33,37,0.004933
i25 i37,249,0.033196
i25 i38,30,0.003999
i25 i39,26,0.003466
i25 i4,53,0.007066
i25 i40,132,0.017598
i25 i43,258,0.034395
i25 i44,39,0.005199
i25 i45,71,0.009465
i25 i46,36,0.004799
i25 i47,23,0.003066
i25 i48,112,0.014931
i25 i49,172,0.022930
i25 i51,82,0.010932
i25 i54,176,0.023464
i25 i55,173,0.023064
i25 i57,47,0.006266
i25 i59,68,0.009065
i25 i60,60,0.007999
i25 i61,41,0.005466
i25 i63,27,0.003600
i25 i64,38,0.005066
i25 i65,111,0.014798
i25 i71,241,0.032129
i25 i72,395,0.052660
i25 i73,25,0.003333
i25 i75,30,0.003999
i25 i76,33,0.004399
i25 i8,21,0.002800
i25 i80,46,0.006133
i25 i81,123,0.016398
i25 i82,149,0.019864
i25 i83,32,0.004266
i25 i85,48,0.006399
i25 i88,23,0.003066
i25 i89,37,0.004933
i25 i90,40,0.005333
i25 i92,80,0.010665
i25 i97,135,0.017998
i25 i99,76,0.010132
i28 i37,32,0.004266
i28 i43,22,0.002933
i28 i71,25,0.003333
i28 i72,20,0.002666
i29 i72,20,0.002666
i30 i37,79,0.010532
i30 i43,100,0.013332
i30 i45,20,0.002666
i30 i48,23,0.003066
i30 i51,21,0.002800
i30 i54,90,0.011998
i30 i55,33,0.004399
i30 i65,40,0.005333
i30 i71,33,0.004399
i30 i72,56,0.007466
i30 i82,39,0.005199
i30 i97,31,0.004133
i31 i37,88,0.011732
i31 i40,40,0.005333
i31 i43,59,0.007866
i31 i45,22,0.002933
i31 i48,36,0.004799
i31 i49,51,0.006799
i31 i51,43,0.005733
i31 i54,53,0.007066
i31 i55,63,0.008399
i31 i59,40,0.005333
i31 i60,25,0.003333
i31 i63,21,0.002800
i31 i65,49,0.006532
i31 i71,86,0.011465
i31 i72,151,0.020131
i31 i80,20,0.002666
i31 i81,38,0.005066
i31 i82,59,0.007866
i31 i92,29,0.003866
i31 i97,45,0.005999
i31 i99,40,0.005333
i33 i37,42,0.005599
i33 i43,44,0.005866
i33 i45,20,0.002666
i33 i48,37,0.004933
i33 i49,31,0.004133
i33 i54,48,0.006399
i33 i55,23,0.003066
i33 i60,21,0.002800
i33 i65,20,0.002666
i33 i71,35,0.004666
i33 i72,72,0.009599
i33 i81,26,0.003466
i33 i82,39,0.005199
i33 i97,20,0.002666
i36 i37,27,0.003600
i36 i54,20,0.002666
i36 i72,28,0.003733
i37 i38,39,0.005199
i37 i39,37,0.004933
i37 i4,42,0.005599
i37 i40,83,0.011065
i37 i43,273,0.036395
i37 i44,45,0.005999
i37 i45,65,0.008666
i37 i46,44,0.005866
i37 i47,30,0.003999
i37 i48,83,0.011065
i37 i49,163,0.021730
i37 i51,68,0.009065
i37 i54,191,0.025463
i37 i55,150,0.019997
i37 i56,20,0.002666
i37 i57,47,0.006266
i37 i59,94,0.012532
i37 i6,22,0.002933
i37 i60,43,0.005733
i37 i61,27,0.003600
i37 i63,25,0.003333
i37 i64,41,0.005466
i37 i65,126,0.016798
i37 i69,33,0.004399
i37 i7,27,0.003600
i37 i71,231,0.030796
i37 i72,382,0.050927
i37 i73,22,0.002933
i37 i75,26,0.003466
i37 i76,26,0.003466
i37 i8,37,0.004933
i37 i80,26,0.003466
i37 i81,90,0.011998
i37 i82,163,0.021730
i37 i83,34,0.004533
i37 i84,21,0.002800
i37 i85,35,0.004666
i37 i88,25,0.003333
i37 i89,53,0.007066
i37 i90,23,0.003066
i37 i92,62,0.008266
i37 i97,106,0.014131
i37 i99,68,0.009065
i38 i43,36,0.004799
i38 i49,31,0.004133
i38 i54,23,0.003066
i38 i55,20,0.002666
i38 i71,41,0.005466
i38 i72,51,0.006799
i38 i82,20,0.002666
i39 i43,46,0.006133
i39 i49,21,0.002800
i39 i54,30,0.003999
i39 i71,25,0.003333
i39 i72,42,0.005599
i39 i82,28,0.003733
i39 i97,21,0.002800
i4 i43,60,0.007999
i4 i48,38,0.005066
i4 i49,35,0.004666
i4 i54,47,0.006266
i4 i55,28,0.003733
i4 i60,24,0.003200
i4 i71,56,0.007466
i4 i72,87,0.011598
i4 i81,26,0.003466
i4 i82,33,0.004399
i4 i97,23,0.003066
i4 i99,33,0.004399
i40 i43,123,0.016398
i40 i45,27,0.003600
i40 i48,41,0.005466
i40 i49,57,0.007599
i40 i51,36,0.004799
i40 i54,67,0.008932
i40 i55,62,0.008266
i40 i59,27,0.003600
i40 i60,29,0.003866
i40 i61,20,0.002666
i40 i65,35,0.004666
i40 i71,58,0.007732
i40 i72,128,0.017064
i40 i76,43,0.005733
i40 i82,44,0.005866
i40 i84,44,0.005866
i40 i85,23,0.003066
i40 i92,25,0.003333
i40 i97,32,0.004266
i40 i99,26,0.003466
i41 i72,43,0.005733
i41 i81,20,0.002666
i42 i54,23,0.003066
i43 i44,28,0.003733
i43 i45,62,0.008266
i43 i46,29,0.003866
i43 i47,28,0.003733
i43 i48,109,0.014531
i43 i49,143,0.019064
i43 i51,78,0.010399
i43 i52,20,0.002666
i43 i54,214,0.028530
i43 i55,104,0.013865
i43 i56,20,0.002666
i43 i57,42,0.005599
i43 i59,52,0.006932
i43 i60,67,0.008932
i43 i61,55,0.007332
i43 i64,55,0.007332
i43 i65,100,0.013332
i43 i69,23,0.003066
i43 i71,178,0.023730
i43 i72,253,0.033729
i43 i75,40,0.005333
i43 i76,35,0.004666
i43 i80,30,0.003999
i43 i81,69,0.009199
i43 i82,151,0.020131
i43 i83,22,0.002933
i43 i84,23,0.003066
i43 i85,29,0.003866
i43 i88,26,0.003466
i43 i89,40,0.005333
i43 i90,36,0.004799
i43 i92,44,0.005866
i43 i95,20,0.002666
i43 i97,75,0.009999
i43 i99,57,0.007599
i44 i45,21,0.002800
i44 i48,21,0.002800
i44 i49,24,0.003200
i44 i54,27,0.003600
i44 i55,29,0.003866
i44 i71,37,0.004933
i44 i72,62,0.008266
i44 i81,26,0.003466
i44 i82,31,0.004133
i45 i48,32,0.004266
i45 i49,51,0.006799
i45 i51,23,0.003066
i45 i54,48,0.006399
i45 i55,46,0.006133
i45 i59,23,0.003066
i45 i60,20,0.002666
i45 i61,22,0.002933
i45 i65,32,0.004266
i45 i71,69,0.009199
i45 i72,100,0.013332
i45 i81,38,0.005066
i45 i82,40,0.005333
i45 i92,21,0.002800
i45 i97,39,0.005199
i45 i99,20,0.002666
i46 i48,22,0.002933
i46 i49,31,0.004133
i46 i54,24,0.003200
i46 i60,30,0.003999
i46 i71,36,0.004799
i46 i72,66,0.008799
i46 i81,28,0.003733
i46 i82,38,0.005066
i47 i49,20,0.002666
i47 i60,25,0.003333
i47 i72,34,0.004533
i48 i49,75,0.009999
i48 i51,24,0.003200
i48 i54,84,0.011199
i48 i55,57,0.007599
i48 i57,21,0.002800
i48 i59,28,0.003733
i48 i60,44,0.005866
i48 i61,36,0.004799
i48 i64,24,0.003200
i48 i65,55,0.007332
i48 i71,107,0.014265
i48 i72,152,0.020264
i48 i80,21,0.002800
i48 i81,52,0.006932
i48 i82,68,0.009065
i48 i85,22,0.002933
i48 i92,38,0.005066
i48 i97,55,0.007332
i49 i51,51,0.006799
i49 i54,108,0.014398
i49 i55,127,0.016931
i49 i57,22,0.002933
i49 i59,45,0.005999
i49 i60,57,0.007599
i49 i61,30,0.003999
i49 i64,33,0.004399
i49 i65,76,0.010132
i49 i69,23,0.003066
i49 i71,177,0.023597
i49 i72,268,0.035729
i49 i75,27,0.003600
i49 i81,85,0.011332
i49 i82,101,0.013465
i49 i83,41,0.005466
i49 i85,21,0.002800
i49 i92,47,0.006266
i49 i97,125,0.016664
i49 i99,60,0.007999
i51 i54,59,0.007866
i51 i55,85,0.011332
i51 i59,49,0.006532
i51 i60,31,0.004133
i51 i65,42,0.005599
i51 i71,59,0.007866
i51 i72,131,0.017464
i51 i81,47,0.006266
i51 i82,52,0.006932
i51 i92,39,0.005199
i51 i97,33,0.004399
i51 i99,22,0.002933
i53 i72,24,0.003200
i54 i55,111,0.014798
i54 i56,24,0.003200
i54 i57,37,0.004933
i54 i59,48,0.006399
i54 i60,70,0.009332
i54 i61,50,0.006666
i54 i64,33,0.004399
i54 i65,57,0.007599
i54 i66,22,0.002933
i54 i69,26,0.003466
i54 i71,132,0.017598
i54 i72,233,0.031063
i54 i73,22,0.002933
i54 i75,20,0.002666
