itemset,support_count,support
i100 i17 i82,31,0.004133
i100 i21 i55,23,0.003066
i100 i21 i71,20,0.002666
i100 i21 i72,26,0.003466
i100 i22 i72,20,0.002666
i100 i23 i25,32,0.004266
i100 i23 i37,31,0.004133
i100 i23 i43,29,0.003866
i100 i23 i49,23,0.003066
i100 i23 i54,25,0.003333
i100 i23 i55,36,0.004799
i100 i23 i71,41,0.005466
i100 i23 i72,52,0.006932
i100 i23 i81,26,0.003466
i100 i23 i82,24,0.003200
i100 i23 i97,21,0.002800
i100 i23 i99,20,0.002666
i100 i25 i30,23,0.003066
i100 i25 i31,33,0.004399
i100 i25 i37,79,0.010532
i100 i25 i40,33,0.004399
i100 i25 i43,60,0.007999
i100 i25 i45,21,0.002800
i100 i25 i48,35,0.004666
i100 i25 i49,59,0.007866
i100 i25 i51,23,0.003066
i100 i25 i54,53,0.007066
i100 i25 i55,69,0.009199
i100 i25 i57,21,0.002800
i100 i25 i59,20,0.002666
i100 i25 i65,28,0.003733
i100 i25 i71,82,0.010932
i100 i25 i72,119,0.015865
i100 i25 i81,53,0.007066
i100 i25 i82,51,0.006799
i100 i25 i89,21,0.002800
i100 i25 i92,30,0.003999
i100 i25 i97,48,0.006399
i100 i25 i99,23,0.003066
i100 i31 i37,31,0.004133
i100 i31 i55,36,0.004799
i100 i31 i71,26,0.003466
i100 i31 i72,57,0.007599
i100 i31 i82,22,0.002933
i100 i33 i72,25,0.003333
i100 i37 i40,20,0.002666
i100 i37 i43,60,0.007999
i100 i37 i44,22,0.002933
i100 i37 i48,20,0.002666
i100 i37 i49,43,0.005733
i100 i37 i51,32,0.004266
i100 i37 i54,43,0.005733
i100 i37 i55,67,0.008932
i100 i37 i57,20,0.002666
i100 i37 i59,36,0.004799
i100 i37 i65,28,0.003733
i100 i37 i71,67,0.008932
i100 i37 i72,107,0.014265
i100 i37 i81,38,0.005066
i100 i37 i82,50,0.006666
i100 i37 i89,28,0.003733
i100 i37 i92,24,0.003200
i100 i37 i97,30,0.003999
i100 i37 i99,24,0.003200
i100 i4 i71,25,0.003333
i100 i4 i72,22,0.002933
i100 i40 i43,26,0.003466
i100 i40 i55,25,0.003333
i100 i40 i72,36,0.004799
i100 i40 i82,20,0.002666
i100 i43 i48,20,0.002666
i100 i43 i49,40,0.005333
i100 i43 i51,22,0.002933
i100 i43 i54,40,0.005333
i100 i43 i55,42,0.005599
i100 i43 i60,20,0.002666
i100 i43 i65,27,0.003600
i100 i43 i71,48,0.006399
i100 i43 i72,76,0.010132
i100 i43 i81,26,0.003466
i100 i43 i82,43,0.005733
i100 i44 i72,25,0.003333
i100 i45 i72,27,0.003600
i100 i46 i72,22,0.002933
i100 i48 i49,31,0.004133
i100 i48 i54,22,0.002933
i100 i48 i55,23,0.003066
i100 i48 i71,42,0.005599
i100 i48 i72,51,0.006799
i100 i48 i82,27,0.003600
i100 i48 i97,21,0.002800
i100 i49 i54,32,0.004266
i100 i49 i55,65,0.008666
i100 i49 i65,20,0.002666
i100 i49 i71,62,0.008266
i100 i49 i72,90,0.011998
i100 i49 i81,43,0.005733
i100 i49 i82,33,0.004399
i100 i49 i97,45,0.005999
i100 i49 i99,27,0.003600
i100 i51 i54,24,0.003200
i100 i51 i55,40,0.005333
i100 i51 i59,23,0.003066
i100 i51 i71,27,0.003600
i100 i51 i72,47,0.006266
i100 i51 i82,23,0.003066
i100 i54 i55,48,0.006399
i100 i54 i71,39,0.005199
i100 i54 i72,62,0.008266
i100 i54 i81,34,0.004533
i100 i54 i82,37,0.004933
i100 i55 i59,48,0.006399
i100 i55 i60,20,0.002666
i100 i55 i65,30,0.003999
i100 i55 i71,73,0.009732
i100 i55 i72,128,0.017064
i100 i55 i81,46,0.006133
i100 i55 i82,48,0.006399
i100 i55 i85,25,0.003333
i100 i55 i92,29,0.003866
i100 i55 i97,45,0.005999
i100 i55 i99,29,0.003866
i100 i57 i72,28,0.003733
i100 i59 i65,20,0.002666
i100 i59 i71,24,0.003200
i100 i59 i72,45,0.005999
i100 i59 i81,20,0.002666
i100 i59 i82,27,0.003600
i100 i60 i72,25,0.003333
i100 i61 i72,28,0.003733
i100 i63 i72,24,0.003200
i100 i65 i71,33,0.004399
i100 i65 i72,42,0.005599
i100 i65 i82,25,0.003333
i100 i71 i72,118,0.015731
i100 i71 i81,54,0.007199
i100 i71 i82,37,0.004933
i100 i71 i92,26,0.003466
i100 i71 i97,37,0.004933
i100 i71 i99,34,0.004533
i100 i72 i81,77,0.010265
i100 i72 i82,86,0.011465
i100 i72 i85,22,0.002933
i100 i72 i89,30,0.003999
i100 i72 i90,20,0.002666
i100 i72 i92,51,0.006799
i100 i72 i97,64,0.008532
i100 i72 i99,56,0.007466
i100 i81 i82,38,0.005066
i100 i81 i97,27,0.003600
i100 i81 i99,22,0.002933
i100 i82 i97,28,0.003733
i100 i82 i99,22,0.002933
i106 i54 i72,20,0.002666
i107 i55 i72,20,0.002666
i108 i15 i72,25,0.003333
i108 i17 i49,23,0.003066
i108 i17 i72,25,0.003333
i108 i23 i72,24,0.003200
i108 i25 i43,26,0.003466
i108 i25 i49,26,0.003466
i108 i25 i54,22,0.002933
i108 i25 i71,27,0.003600
i108 i25 i72,43,0.005733
i108 i25 i97,20,0.002666
i108 i31 i72,20,0.002666
i108 i37 i43,25,0.003333
i108 i37 i49,23,0.003066
i108 i37 i71,21,0.002800
i108 i37 i72,38,0.005066
i108 i43 i49,24,0.003200
i108 i43 i71,21,0.002800
i108 i43 i72,27,0.003600
i108 i49 i54,25,0.003333
i108 i49 i55,24,0.003200
i108 i49 i71,31,0.004133
i108 i49 i72,44,0.005866
i108 i49 i97,30,0.003999
i108 i54 i55,23,0.003066
i108 i54 i72,24,0.003200
i108 i55 i71,22,0.002933
i108 i55 i72,41,0.005466
i108 i71 i72,49,0.006532
i108 i71 i99,23,0.003066
i108 i72 i81,31,0.004133
i108 i72 i82,35,0.004666
i108 i72 i97,22,0.002933
i108 i72 i99,28,0.003733
i110 i15 i25,23,0.003066
i110 i15 i37,29,0.003866
i110 i15 i43,20,0.002666
i110 i15 i71,24,0.003200
i110 i15 i72,26,0.003466
i110 i17 i37,24,0.003200
i110 i17 i72,22,0.002933
i110 i25 i37,27,0.003600
i110 i25 i71,26,0.003466
i110 i25 i72,31,0.004133
i110 i37 i43,29,0.003866
i110 i37 i54,29,0.003866
i110 i37 i71,29,0.003866
i110 i37 i72,42,0.005599
i110 i37 i82,22,0.002933
i110 i43 i72,22,0.002933
i110 i49 i71,20,0.002666
i110 i49 i72,33,0.004399
i110 i54 i72,25,0.003333
i110 i55 i71,25,0.003333
i110 i55 i72,29,0.003866
i110 i71 i72,46,0.006133
i110 i72 i82,25,0.003333
i115 i71 i72,22,0.002933
i115 i72 i81,29,0.003866
i116 i15 i25,22,0.002933
i116 i15 i71,23,0.003066
i116 i15 i72,27,0.003600
i116 i17 i72,27,0.003600
i116 i25 i37,20,0.002666
i116 i25 i71,22,0.002933
i116 i25 i72,29,0.003866
i116 i37 i72,29,0.003866
i116 i43 i54,20,0.002666
i116 i43 i72,23,0.003066
i116 i49 i71,23,0.003066
i116 i49 i72,33,0.004399
i116 i54 i72,20,0.002666
i116 i55 i71,21,0.002800
i116 i55 i72,29,0.003866
i116 i65 i72,22,0.002933
i116 i71 i72,38,0.005066
i116 i72 i82,31,0.004133
i12 i37 i72,27,0.003600
i15 i17 i25,23,0.003066
i15 i17 i37,26,0.003466
i15 i17 i43,21,0.002800
i15 i17 i71,28,0.003733
i15 i17 i72,36,0.004799
i15 i25 i37,41,0.005466
i15 i25 i43,36,0.004799
i15 i25 i49,25,0.003333
i15 i25 i54,26,0.003466
i15 i25 i55,23,0.003066
i15 i25 i71,41,0.005466
i15 i25 i72,43,0.005733
i15 i25 i82,23,0.003066
i15 i25 i97,23,0.003066
i15 i30 i37,20,0.002666
i15 i30 i54,20,0.002666
i15 i37 i43,68,0.009065
i15 i37 i49,21,0.002800
i15 i37 i54,45,0.005999
i15 i37 i55,30,0.003999
i15 i37 i71,40,0.005333
i15 i37 i72,59,0.007866
i15 i37 i82,31,0.004133
i15 i43 i49,20,0.002666
i15 i43 i54,41,0.005466
i15 i43 i71,42,0.005599
i15 i43 i72,39,0.005199
i15 i43 i82,24,0.003200
i15 i48 i72,24,0.003200
i15 i49 i71,22,0.002933
i15 i49 i72,37,0.004933
i15 i54 i71,28,0.003733
i15 i54 i72,26,0.003466
i15 i55 i71,31,0.004133
i15 i55 i72,40,0.005333
i15 i71 i72,52,0.006932
i15 i71 i97,22,0.002933
i15 i72 i81,25,0.003333
i15 i72 i82,28,0.003733
i15 i72 i97,25,0.003333
i16 i25 i43,20,0.002666
i17 i23 i72,23,0.003066
i17 i25 i37,32,0.004266
i17 i25 i43,26,0.003466
i17 i25 i71,23,0.003066
i17 i25 i72,42,0.005599
i17 i25 i81,21,0.002800
i17 i25 i82,21,0.002800
i17 i37 i43,34,0.004533
i17 i37 i54,25,0.003333
i17 i37 i71,31,0.004133
i17 i37 i72,54,0.007199
i17 i37 i82,24,0.003200
i17 i37 i97,20,0.002666
i17 i43 i54,33,0.004399
i17 i43 i71,26,0.003466
i17 i43 i72,48,0.006399
i17 i43 i82,20,0.002666
i17 i48 i72,24,0.003200
i17 i49 i71,21,0.002800
i17 i49 i72,36,0.004799
i17 i54 i72,31,0.004133
i17 i54 i82,23,0.003066
i17 i55 i72,26,0.003466
i17 i65 i72,22,0.002933
i17 i71 i72,48,0.006399
i17 i72 i81,24,0.003200
i17 i72 i82,31,0.004133
i17 i72 i97,22,0.002933
i17 i72 i99,24,0.003200
i21 i25 i72,20,0.002666
i21 i71 i72,27,0.003600
i23 i25 i37,23,0.003066
i23 i25 i43,28,0.003733
i23 i25 i49,20,0.002666
i23 i25 i54,30,0.003999
i23 i25 i55,21,0.002800
i23 i25 i71,34,0.004533
i23 i25 i72,57,0.007599
i23 i37 i43,24,0.003200
i23 i37 i49,20,0.002666
i23 i37 i71,31,0.004133
i23 i37 i72,39,0.005199
i23 i43 i71,25,0.003333
i23 i43 i72,32,0.004266
i23 i45 i72,20,0.002666
i23 i48 i71,20,0.002666
i23 i48 i72,20,0.002666
i23 i49 i71,22,0.002933
i23 i49 i72,28,0.003733
i23 i54 i72,29,0.003866
i23 i55 i71,29,0.003866
i23 i55 i72,29,0.003866
i23 i71 i72,50,0.006666
i23 i71 i81,27,0.003600
i23 i71 i82,23,0.003066
i23 i71 i99,20,0.002666
i23 i72 i81,27,0.003600
i23 i72 i82,36,0.004799
i23 i72 i97,22,0.002933
i23 i72 i99,24,0.003200
i25 i30 i43,30,0.003999
i25 i30 i54,20,0.002666
i25 i31 i37,34,0.004533
i25 i31 i43,21,0.002800
i25 i31 i71,33,0.004399
i25 i31 i72,43,0.005733
i25 i37 i40,25,0.003333
i25 i37 i43,63,0.008399
i25 i37 i48,21,0.002800
i25 i37 i49,43,0.005733
i25 i37 i54,41,0.005466
i25 i37 i55,49,0.006532
i25 i37 i59,22,0.002933
i25 i37 i65,25,0.003333
i25 i37 i71,69,0.009199
i25 i37 i72,101,0.013465
i25 i37 i81,30,0.003999
i25 i37 i82,42,0.005599
i25 i37 i97,29,0.003866
i25 i37 i99,20,0.002666
i25 i4 i72,23,0.003066
i25 i40 i43,39,0.005199
i25 i40 i54,21,0.002800
i25 i40 i55,21,0.002800
i25 i40 i71,23,0.003066
i25 i40 i72,42,0.005599
i25 i43 i48,27,0.003600
i25 i43 i49,42,0.005599
i25 i43 i51,24,0.003200
i25 i43 i54,39,0.005199
i25 i43 i55,25,0.003333
i25 i43 i65,30,0.003999
i25 i43 i71,55,0.007332
i25 i43 i72,64,0.008532
i25 i43 i81,23,0.003066
i25 i43 i82,41,0.005466
i25 i43 i97,25,0.003333
i25 i45 i72,30,0.003999
i25 i48 i71,31,0.004133
i25 i48 i72,38,0.005066
i25 i49 i54,23,0.003066
i25 i49 i55,43,0.005733
i25 i49 i71,60,0.007999
i25 i49 i72,73,0.009732
i25 i49 i81,30,0.003999
i25 i49 i82,24,0.003200
i25 i49 i97,40,0.005333
i25 i51 i72,30,0.003999
i25 i54 i55,25,0.003333
i25 i54 i71,35,0.004666
i25 i54 i72,52,0.006932
i25 i54 i81,21,0.002800
i25 i54 i82,32,0.004266
i25 i55 i59,30,0.003999
i25 i55 i71,46,0.006133
i25 i55 i72,82,0.010932
i25 i55 i81,25,0.003333
i25 i55 i82,28,0.003733
i25 i55 i97,26,0.003466
i25 i55 i99,21,0.002800
i25 i57 i72,20,0.002666
i25 i59 i71,20,0.002666
i25 i59 i72,30,0.003999
i25 i60 i72,23,0.003066
i25 i61 i72,21,0.002800
i25 i65 i71,28,0.003733
i25 i65 i72,43,0.005733
i25 i71 i72,105,0.013998
i25 i71 i81,39,0.005199
i25 i71 i82,36,0.004799
i25 i71 i92,21,0.002800
i25 i71 i97,41,0.005466
i25 i71 i99,30,0.003999
i25 i72 i81,62,0.008266
i25 i72 i82,70,0.009332
i25 i72 i85,20,0.002666
i25 i72 i92,34,0.004533
i25 i72 i97,57,0.007599
i25 i72 i99,42,0.005599
i25 i81 i82,25,0.003333
i25 i81 i97,22,0.002933
i25 i82 i97,21,0.002800
i30 i37 i43,20,0.002666
i30 i37 i54,22,0.002933
i30 i43 i54,35,0.004666
i31 i37 i71,30,0.003999
i31 i37 i72,48,0.006399
i31 i43 i72,22,0.002933
i31 i49 i71,21,0.002800
i31 i49 i72,21,0.002800
i31 i54 i72,24,0.003200
i31 i55 i72,24,0.003200
i31 i65 i72,20,0.002666
i31 i71 i72,35,0.004666
i31 i72 i82,35,0.004666
i37 i40 i72,24,0.003200
i37 i43 i49,39,0.005199
i37 i43 i54,53,0.007066
i37 i43 i55,27,0.003600
i37 i43 i57,20,0.002666
i37 i43 i65,26,0.003466
i37 i43 i71,54,0.007199
i37 i43 i72,52,0.006932
i37 i43 i82,36,0.004799
i37 i43 i97,21,0.002800
i37 i45 i71,20,0.002666
i37 i45 i72,27,0.003600
i37 i46 i72,21,0.002800
i37 i48 i72,31,0.004133
i37 i49 i54,25,0.003333
i37 i49 i55,33,0.004399
i37 i49 i65,24,0.003200
i37 i49 i71,55,0.007332
i37 i49 i72,68,0.009065
i37 i49 i81,21,0.002800
i37 i49 i82,23,0.003066
i37 i49 i97,28,0.003733
i37 i51 i72,33,0.004399
i37 i54 i71,29,0.003866
i37 i54 i72,52,0.006932
i37 i54 i82,27,0.003600
i37 i55 i59,31,0.004133
i37 i55 i71,44,0.005866
i37 i55 i72,76,0.010132
i37 i55 i81,22,0.002933
i37 i59 i71,25,0.003333
i37 i59 i72,40,0.005333
i37 i65 i71,28,0.003733
i37 i65 i72,46,0.006133
i37 i71 i72,98,0.013065
i37 i71 i81,28,0.003733
i37 i71 i82,35,0.004666
i37 i71 i97,32,0.004266
i37 i72 i81,44,0.005866
i37 i72 i82,59,0.007866
i37 i72 i89,25,0.003333
i37 i72 i92,27,0.003600
i37 i72 i97,39,0.005199
i37 i72 i99,37,0.004933
i37 i81 i82,20,0.002666
i4 i43 i72,22,0.002933
i4 i71 i72,25,0.003333
i40 i43 i49,20,0.002666
i40 i43 i72,22,0.002933
i40 i55 i72,21,0.002800
i40 i71 i72,30,0.003999
i40 i72 i82,21,0.002800
i43 i48 i49,21,0.002800
i43 i48 i54,29,0.003866
i43 i48 i71,23,0.003066
i43 i48 i72,27,0.003600
i43 i49 i54,29,0.003866
i43 i49 i71,43,0.005733
i43 i49 i72,46,0.006133
i43 i49 i82,24,0.003200
i43 i49 i97,21,0.002800
i43 i54 i71,30,0.003999
i43 i54 i72,46,0.006133
i43 i54 i82,34,0.004533
i43 i55 i59,24,0.003200
i43 i55 i71,27,0.003600
i43 i55 i72,40,0.005333
i43 i65 i71,25,0.003333
i43 i65 i72,28,0.003733
i43 i71 i72,62,0.008266
i43 i71 i81,24,0.003200
i43 i71 i82,26,0.003466
i43 i71 i97,29,0.003866
i43 i72 i81,30,0.003999
i43 i72 i82,49,0.006532
i43 i72 i97,20,0.002666
i43 i72 i99,24,0.003200
i44 i71 i72,21,0.002800
i45 i49 i72,23,0.003066
i45 i71 i72,30,0.003999
i48 i49 i71,20,0.002666
i48 i49 i72,25,0.003333
i48 i49 i97,21,0.002800
i48 i54 i71,21,0.002800
i48 i54 i72,28,0.003733
i48 i55 i72,26,0.003466
i48 i71 i72,46,0.006133
i48 i72 i81,20,0.002666
i48 i72 i82,29,0.003866
i49 i54 i55,20,0.002666
i49 i54 i71,24,0.003200
i49 i54 i72,34,0.004533
i49 i55 i59,21,0.002800
i49 i55 i65,20,0.002666
i49 i55 i71,43,0.005733
i49 i55 i72,69,0.009199
i49 i55 i81,25,0.003333
i49 i55 i97,24,0.003200
i49 i59 i72,24,0.003200
i49 i60 i72,26,0.003466
i49 i65 i71,28,0.003733
i49 i65 i72,34,0.004533
i49 i71 i72,83,0.011065
i49 i71 i81,36,0.004799
i49 i71 i82,22,0.002933
i49 i71 i97,35,0.004666
i49 i71 i99,30,0.003999
i49 i72 i81,49,0.006532
i49 i72 i82,46,0.006133
i49 i72 i92,23,0.003066
i49 i72 i97,54,0.007199
i49 i72 i99,38,0.005066
i51 i55 i72,38,0.005066
i51 i59 i72,21,0.002800
i51 i71 i72,27,0.003600
i51 i72 i81,22,0.002933
i51 i72 i82,26,0.003466
i54 i55 i71,25,0.003333
i54 i55 i72,39,0.005199
i54 i60 i72,21,0.002800
i54 i71 i72,43,0.005733
i54 i72 i81,32,0.004266
i54 i72 i82,43,0.005733
i54 i72 i92,20,0.002666
i54 i72 i97,21,0.002800
i54 i72 i99,20,0.002666
i55 i57 i72,20,0.002666
i55 i59 i71,27,0.003600
i55 i59 i72,50,0.006666
i55 i59 i82,20,0.002666
i55 i59 i97,22,0.002933
i55 i60 i72,21,0.002800
i55 i65 i71,23,0.003066
i55 i65 i72,36,0.004799
i55 i71 i72,83,0.011065
i55 i71 i81,37,0.004933
i55 i71 i82,26,0.003466
i55 i71 i97,21,0.002800
i55 i71 i99,30,0.003999
i55 i72 i81,50,0.006666
i55 i72 i82,56,0.007466
i55 i72 i89,21,0.002800
i55 i72 i92,29,0.003866
i55 i72 i97,38,0.005066
i55 i72 i99,38,0.005066
i59 i71 i72,31,0.004133
i59 i72 i82,27,0.003600
i60 i71 i72,25,0.003333
i65 i71 i72,36,0.004799
i65 i72 i82,32,0.004266
i65 i72 i99,20,0.002666
i71 i72 i81,64,0.008532
i71 i72 i82,59,0.007866
i71 i72 i92,33,0.004399
i71 i72 i97,59,0.007866
i71 i72 i99,64,0.008532
i71 i81 i82,23,0.003066
i71 i81 i97,24,0.003200
i71 i81 i99,27,0.003600
i71 i82 i97,25,0.003333
i72 i81 i82,35,0.004666
i72 i81 i92,20,0.002666
i72 i81 i97,34,0.004533
i72 i81 i99,39,0.005199
i72 i82 i97,34,0.004533
i72 i82 i99,32,0.004266
i72 i97 i99,20,0.002666
i100 i108 i49 i72,23,0.003066
i100 i108 i55 i72,23,0.003066
i100 i108 i71 i72,25,0.003333
i100 i110 i71 i72,20,0.002666
i100 i15 i25 i37,20,0.002666
i100 i15 i25 i71,22,0.002933
i100 i23 i71 i72,20,0.002666
i100 i25 i37 i43,22,0.002933
i100 i25 i37 i55,23,0.003066
i100 i25 i37 i71,22,0.002933
i100 i25 i37 i72,34,0.004533
i100 i25 i43 i72,21,0.002800
i100 i25 i49 i55,23,0.003066
i100 i25 i49 i71,26,0.003466
i100 i25 i49 i72,31,0.004133
i100 i25 i55 i71,22,0.002933
i100 i25 i55 i72,30,0.003999
i100 i25 i71 i72,37,0.004933
i100 i25 i72 i81,29,0.003866
i100 i25 i72 i82,28,0.003733
i100 i25 i72 i97,26,0.003466
i100 i31 i37 i72,22,0.002933
i100 i37 i43 i71,20,0.002666
i100 i37 i43 i72,23,0.003066
i100 i37 i49 i71,20,0.002666
i100 i37 i49 i72,22,0.002933
i100 i37 i55 i71,22,0.002933
i100 i37 i55 i72,29,0.003866
i100 i37 i71 i72,33,0.004399
i100 i43 i55 i72,21,0.002800
i100 i43 i71 i72,21,0.002800
i100 i48 i71 i72,24,0.003200
i100 i49 i55 i71,23,0.003066
i100 i49 i55 i72,33,0.004399
i100 i49 i71 i72,34,0.004533
i100 i49 i72 i81,21,0.002800
i100 i49 i72 i97,25,0.003333
i100 i55 i59 i72,21,0.002800
i100 i55 i71 i72,33,0.004399
i100 i55 i72 i81,23,0.003066
i100 i55 i72 i82,23,0.003066
i100 i55 i72 i97,22,0.002933
i100 i71 i72 i81,25,0.003333
i100 i71 i72 i97,23,0.003066
i100 i72 i81 i82,21,0.002800
i25 i37 i43 i71,20,0.002666
i25 i37 i49 i72,23,0.003066
i25 i37 i55 i72,30,0.003999
i25 i37 i71 i72,31,0.004133
i25 i43 i71 i72,20,0.002666
i25 i49 i55 i71,20,0.002666
i25 i49 i55 i72,25,0.003333
i25 i49 i71 i72,30,0.003999
i25 i49 i72 i81,21,0.002800
i25 i49 i72 i97,24,0.003200
i25 i55 i71 i72,25,0.003333
i25 i71 i72 i97,22,0.002933
i37 i49 i55 i72,20,0.002666
i37 i49 i71 i72,28,0.003733
i37 i55 i71 i72,25,0.003333
i37 i71 i72 i81,20,0.002666
i49 i55 i71 i72,28,0.003733
i49 i71 i72 i81,25,0.003333
i49 i71 i72 i97,21,0.002800
i49 i71 i72 i99,23,0.003066
